x,Weights,y,Weights,error_LT
3.250610011269999973e+02,1.008582671999989966e+00,-8.813651088001960288e-01,1.008582671999989966e+00,-8.813651088001960288e-01
3.270781664709999745e+02,9.988252589999719877e-01,-8.793741228000160337e-01,9.988252589999719877e-01,-8.793741228000160337e-01
3.290758169889999749e+02,1.003077154000010074e+00,-8.864571408001320485e-01,1.003077154000010074e+00,-8.864571408001320485e-01
3.310819712969999955e+02,9.990984730000319614e-01,-8.670443527998940025e-01,9.990984730000319614e-01,-8.670443527998940025e-01
3.330801682430000028e+02,9.925500249999860136e-01,-8.310618297999210480e-01,9.925500249999860136e-01,-8.310618297999210480e-01
3.350652682929999742e+02,1.001876935000010072e+00,-8.288451558002519759e-01,1.001876935000010072e+00,-8.288451558002519759e-01
3.370690221629999996e+02,1.002778680999969918e+00,-8.375688037998539892e-01,1.002778680999969918e+00,-8.375688037998539892e-01
3.390745795249999901e+02,1.004804705000029941e+00,-8.252403988001330015e-01,1.004804705000029941e+00,-8.252403988001330015e-01
3.410841889349999860e+02,9.997410220000230163e-01,-8.137070618001870370e-01,9.997410220000230163e-01,-8.137070618001870370e-01
3.430836709789999759e+02,1.005902925999949904e+00,-8.177727058001099669e-01,1.005902925999949904e+00,-8.177727058001099669e-01
3.450954768309999849e+02,1.002522502000029903e+00,-8.271657377999299676e-01,1.002522502000029903e+00,-8.271657377999299676e-01
3.471005218349999950e+02,1.004105004999990003e+00,-8.409477068001369737e-01,1.004105004999990003e+00,-8.409477068001369737e-01
3.491087318450000225e+02,9.994840870000130106e-01,-8.575361427999720343e-01,9.994840870000130106e-01,-8.575361427999720343e-01
3.511077000189999922e+02,1.005346873000009911e+00,-8.526023627998710053e-01,1.005346873000009911e+00,-8.526023627998710053e-01
3.531183937650000075e+02,1.007798272999929967e+00,-8.249740837998730258e-01,1.007798272999929967e+00,-8.249740837998730258e-01
3.551339903109999909e+02,1.001435190000020015e+00,-8.130493607999369488e-01,1.001435190000020015e+00,-8.130493607999369488e-01
3.571368606909999812e+02,1.001094645000019989e+00,-8.238408557999149506e-01,1.001094645000019989e+00,-8.238408557999149506e-01
3.591390499810000279e+02,1.003448861999999941e+00,-8.226977988002199815e-01,1.003448861999999941e+00,-8.226977988002199815e-01
3.611459477050000260e+02,1.001906766000020044e+00,-8.163026027999079615e-01,1.001906766000020044e+00,-8.163026027999079615e-01
3.631497612370000070e+02,9.929942119999850547e-01,-8.260669548002399498e-01,9.929942119999850547e-01,-8.260669548002399498e-01
3.651357496609999771e+02,1.003164537999960082e+00,-8.218600498001360499e-01,1.003164537999960082e+00,-8.218600498001360499e-01
