X_mm,Weights,Y_normalised,Weights
4.659956969510000135e+02,9.947894480000060158e-01,-8.428299157998819791e-01,9.947894480000060158e-01
4.679852758470000254e+02,1.000040382999999977e+00,-8.664280368000729649e-01,1.000040382999999977e+00
4.699853566130000218e+02,1.004776761000020002e+00,-8.634375217999950003e-01,1.004776761000020002e+00
4.719949101349999978e+02,1.003319939999979926e+00,-8.509234567998189558e-01,1.003319939999979926e+00
4.740015500150000207e+02,9.998250760000080284e-01,-8.575569877999670299e-01,9.998250760000080284e-01
4.760012001669999790e+02,9.954049830000140098e-01,-8.645718718000240388e-01,9.954049830000140098e-01
4.779920101330000080e+02,9.873605489999870422e-01,-8.570954518002049660e-01,9.873605489999870422e-01
4.799667312309999829e+02,9.993259999999960508e-01,-8.485201678000749981e-01,9.993259999999960508e-01
4.819653832309999757e+02,1.002491228000000012e+00,-8.555955788001480267e-01,1.002491228000000012e+00
4.839703656870000259e+02,9.959888900000070100e-01,-8.682909798000649770e-01,9.959888900000070100e-01
4.859623434669999824e+02,9.984851579999659554e-01,-8.637279687999920297e-01,9.984851579999659554e-01
4.879593137830000273e+02,9.928365690000190424e-01,-8.588905467999550236e-01,9.928365690000190424e-01
4.899449869210000088e+02,9.979137139999639805e-01,-8.667069448000570553e-01,9.979137139999639805e-01
4.919408143489999929e+02,1.000425241000040044e+00,-8.769414007998079796e-01,1.000425241000040044e+00
4.939416648310000255e+02,9.991986530000079858e-01,-8.698898308002189772e-01,9.991986530000079858e-01
4.959400621369999840e+02,9.983994389999959473e-01,-8.549582587999110528e-01,9.983994389999959473e-01
4.979368610149999768e+02,1.004005379999999947e+00,-8.471186768001639500e-01,1.004005379999999947e+00
4.999448717750000242e+02,1.001137271999970046e+00,-8.426738017998900432e-01,1.001137271999970046e+00
5.019471463190000122e+02,9.992418349999919736e-01,-8.605673197998839896e-01,9.992418349999919736e-01
5.039456299889999968e+02,1.000953926000019978e+00,-8.646899627998440030e-01,1.000953926000019978e+00
5.059475378409999848e+02,9.968456569999939454e-01,-8.586115138000419700e-01,9.968456569999939454e-01
5.079412291549999736e+02,1.000040050000049918e+00,-8.489708887998399511e-01,1.000040050000049918e+00
5.099413092550000215e+02,1.006201509999929966e+00,-8.459697898001650174e-01,1.006201509999929966e+00
5.119537122749999867e+02,9.983858450000300255e-01,-8.482819667999590418e-01,9.983858450000300255e-01
5.139504839649999894e+02,1.004461141999970053e+00,-8.575069197999599657e-01,1.004461141999970053e+00
5.159594062490000397e+02,9.962746570000150514e-01,-8.690288768001439568e-01,9.962746570000150514e-01
5.179519555629999559e+02,9.960754969999929820e-01,-8.744742417998170314e-01,9.960754969999929820e-01
5.199441065570000546e+02,1.004232262000019915e+00,-8.729416147999700115e-01,1.004232262000019915e+00
