x_LE,y_LE,x_RE,y_RE
1.112279924703797884e-01,4.093299999999999841e+02,1.099857659038651070e-01,4.155629999999999882e+02
1.116709113055032454e-01,4.093159999999999741e+02,1.104784846162268630e-01,4.155520000000000209e+02
1.121691949950171380e-01,4.093159999999999741e+02,1.109164568049928884e-01,4.155910000000000082e+02
1.126674786845310583e-01,4.093039999999999736e+02,1.114091755173546722e-01,4.155910000000000082e+02
1.131103975196545153e-01,4.093039999999999736e+02,1.118471477061206837e-01,4.156039999999999850e+02
1.136640460635588434e-01,4.093029999999999973e+02,1.123398664184824397e-01,4.156279999999999859e+02
1.141069648986823004e-01,4.093149999999999977e+02,1.128325851308441957e-01,4.156030000000000086e+02
1.145498837338057713e-01,4.093279999999999745e+02,1.132705573196102072e-01,4.156030000000000086e+02
1.151035322777101133e-01,4.093539999999999850e+02,1.138180225555677494e-01,4.155889999999999986e+02
1.155464511128335703e-01,4.093399999999999750e+02,1.142559947443337609e-01,4.155740000000000123e+02
1.160447348023474629e-01,4.093539999999999850e+02,1.147487134566955169e-01,4.155609999999999786e+02
1.165430184918613554e-01,4.093670000000000186e+02,1.152414321690572729e-01,4.155339999999999918e+02
1.169859373269848124e-01,4.093149999999999977e+02,1.159531369758020486e-01,4.155230000000000246e+02
1.174842210164987050e-01,4.093159999999999741e+02,1.163911091645680601e-01,4.155480000000000018e+02
1.179825047060125975e-01,4.093419999999999845e+02,1.168838278769298161e-01,4.155489999999999782e+02
1.184254235411360684e-01,4.093299999999999841e+02,1.173765465892915999e-01,4.155500000000000114e+02
1.189237072306499748e-01,4.093410000000000082e+02,1.178145187780576114e-01,4.155649999999999977e+02
1.194219909201638674e-01,4.093539999999999850e+02,1.183072374904193674e-01,4.155790000000000077e+02
1.199202746096777600e-01,4.093539999999999850e+02,1.187999562027811373e-01,4.155799999999999841e+02
1.203631934448012308e-01,4.093539999999999850e+02,1.192379283915471488e-01,4.155289999999999964e+02
1.208614771343151095e-01,4.093279999999999745e+02,1.197306471039089049e-01,4.155169999999999959e+02
1.213597608238290299e-01,4.093159999999999741e+02,1.202781123398664331e-01,4.155509999999999877e+02
1.218026796589525007e-01,4.092780000000000200e+02,1.207160845286324447e-01,4.155640000000000214e+02
1.223009633484663794e-01,4.092400000000000091e+02,1.211540567173984562e-01,4.155760000000000218e+02
1.227992470379802720e-01,4.092400000000000091e+02,1.216467754297602261e-01,4.155740000000000123e+02
