x_LE,y_LE,x_RE,y_RE
1.224313683188609087e-01,3.217579999999999814e+02,1.257735407258738780e-01,3.279979999999999905e+02
1.229167790302572588e-01,3.217699999999999818e+02,1.262195461894408122e-01,3.279350000000000023e+02
1.233482552181651426e-01,3.217570000000000050e+02,1.267770530188994660e-01,3.279470000000000027e+02
1.238876004530500008e-01,3.217450000000000045e+02,1.272230584824664001e-01,3.279470000000000027e+02
1.243190766409578846e-01,3.217330000000000041e+02,1.277248146289791941e-01,3.279490000000000123e+02
1.247505528288657684e-01,3.216940000000000168e+02,1.281708200925461283e-01,3.279959999999999809e+02
1.252898980637505988e-01,3.216569999999999823e+02,1.287283269220047821e-01,3.280110000000000241e+02
1.260449813925894058e-01,3.216569999999999823e+02,1.294530858003010432e-01,3.280350000000000250e+02
1.264225230570087954e-01,3.216569999999999823e+02,1.298990912638679773e-01,3.280489999999999782e+02
1.268539992449166653e-01,3.216829999999999927e+02,1.304008474103807713e-01,3.280380000000000109e+02
1.275551480502669921e-01,3.216940000000000168e+02,1.309026035568935653e-01,3.280269999999999868e+02
1.280944932851518225e-01,3.217579999999999814e+02,1.313486090204604717e-01,3.279879999999999995e+02
1.285259694730597202e-01,3.217699999999999818e+02,1.318503651669732935e-01,3.279769999999999754e+02
1.290113801844560704e-01,3.217080000000000268e+02,1.322963706305402276e-01,3.279889999999999759e+02
1.294428563723639403e-01,3.216940000000000168e+02,1.328538774599988814e-01,3.279759999999999991e+02
1.299282670837603182e-01,3.217069999999999936e+02,1.332998829235658156e-01,3.279639999999999986e+02
1.303597432716681881e-01,3.217189999999999941e+02,1.338016390700785818e-01,3.279759999999999991e+02
1.308451539830645660e-01,3.217069999999999936e+02,1.342476445336455160e-01,3.279619999999999891e+02
1.316002373119033453e-01,3.216940000000000168e+02,1.347494006801583100e-01,3.279739999999999895e+02
1.320856480232996955e-01,3.216689999999999827e+02,1.352511568266711317e-01,3.279630000000000223e+02
1.325171242112075931e-01,3.217080000000000268e+02,1.356971622902380659e-01,3.279370000000000118e+02
1.330025349226039710e-01,3.216949999999999932e+02,1.362546691196966919e-01,3.279390000000000214e+02
1.334340111105118409e-01,3.216829999999999927e+02,1.367006745832636261e-01,3.279630000000000223e+02
1.339194218219082189e-01,3.216580000000000155e+02,1.371466800468305602e-01,3.279639999999999986e+02
1.346745051507469981e-01,3.216329999999999814e+02,1.377041868762892418e-01,3.279660000000000082e+02
1.351059813386548680e-01,3.216700000000000159e+02,1.383731950716396153e-01,3.279669999999999845e+02
1.355374575265627379e-01,3.216960000000000264e+02,1.388749512181524093e-01,3.279660000000000082e+02
1.362386063319130369e-01,3.216829999999999927e+02,1.393767073646652033e-01,3.279680000000000177e+02
1.367779515667979229e-01,3.217330000000000041e+02,1.398227128282321374e-01,3.279540000000000077e+02
1.372633622781942730e-01,3.217579999999999814e+02,1.403244689747449314e-01,3.279279999999999973e+02
1.379105765600560918e-01,3.217579999999999814e+02,1.410492278530411647e-01,3.279159999999999968e+02
