LT_time,LT_x,LT_y,LT_z
2.629999999999999893e+00,1.315248874579999949e+02,4.992263617972000134e+02,-3.023271167999679876e-01
2.639999999999999680e+00,1.320223918439999977e+02,4.992317031402000111e+02,-3.092353327999740054e-01
2.649999999999999467e+00,1.325111446699999931e+02,4.992675313941999775e+02,-3.342531728000079916e-01
2.659999999999999254e+00,1.330151260240000113e+02,4.992822358742000119e+02,-3.471930207999839868e-01
2.670000000000000817e+00,1.335111136840000086e+02,4.992615051001999973e+02,-3.380094857999699776e-01
2.680000000000000604e+00,1.340198524360000079e+02,4.992455052572000227e+02,-3.298398117999880030e-01
2.690000000000000391e+00,1.345234581759999912e+02,4.992492377222000073e+02,-3.237409097999610075e-01
2.700000000000000178e+00,1.350235244060000070e+02,4.992447869992000165e+02,-3.086138657999730195e-01
2.709999999999999964e+00,1.355355141260000096e+02,4.992420186321999722e+02,-2.934901047999879942e-01
2.719999999999999751e+00,1.360316171560000100e+02,4.992543550561999837e+02,-2.824231947999629733e-01
2.729999999999999538e+00,1.365228734959999883e+02,4.992814107802000194e+02,-2.794093457999770047e-01
2.739999999999999325e+00,1.370125892940000085e+02,4.993003620342000204e+02,-2.773672527999669901e-01
2.750000000000000888e+00,1.375126595199999997e+02,4.992958478072000048e+02,-2.802401008000099947e-01
2.760000000000000675e+00,1.380136408259999996e+02,4.992753738042000009e+02,-2.790564127999770050e-01
2.770000000000000462e+00,1.385133409880000102e+02,4.992597993621999990e+02,-2.878903607999919734e-01
2.780000000000000249e+00,1.390225702379999859e+02,4.992527606862000198e+02,-3.027523427999779804e-01
2.790000000000000036e+00,1.395072355719999848e+02,4.992373649072000035e+02,-3.015902008000019840e-01
2.799999999999999822e+00,1.399976369000000034e+02,4.992443110492000073e+02,-3.065056457999980055e-01
2.809999999999999609e+00,1.404910066479999955e+02,4.992694416992000015e+02,-3.154846128000119987e-01
2.819999999999999396e+00,1.409792956779999997e+02,4.992782952751999801e+02,-3.134072118000030271e-01
