width_LLS_A,Weights,error_LLS_A
6.031842144950039675e+00,0.000000000000000000e+00,-3.181578550499599700e-01
5.971864137310440412e+00,0.000000000000000000e+00,-3.781358626895592323e-01
6.016790743685469955e+00,0.000000000000000000e+00,-3.332092563145296893e-01
6.013685240012850208e+00,0.000000000000000000e+00,-3.363147599871494364e-01
5.984005610825840371e+00,0.000000000000000000e+00,-3.659943891741592736e-01
6.057976698276750227e+00,0.000000000000000000e+00,-2.920233017232494177e-01
5.990182755044579643e+00,0.000000000000000000e+00,-3.598172449554200014e-01
6.035147208435449606e+00,0.000000000000000000e+00,-3.148527915645500386e-01
6.023416877309750284e+00,0.000000000000000000e+00,-3.265831226902493611e-01
6.016549255901360027e+00,0.000000000000000000e+00,-3.334507440986396176e-01
6.029276581887350162e+00,0.000000000000000000e+00,-3.207234181126494832e-01
6.040128968959379563e+00,0.000000000000000000e+00,-3.098710310406200819e-01
6.044986157422160389e+00,0.000000000000000000e+00,-3.050138425778392559e-01
6.039293181423079915e+00,0.000000000000000000e+00,-3.107068185769197299e-01
6.033613087108189887e+00,0.000000000000000000e+00,-3.163869128918097573e-01
5.999555408582610383e+00,0.000000000000000000e+00,-3.504445914173892618e-01
5.988348744327219642e+00,0.000000000000000000e+00,-3.616512556727800032e-01
