width_LLS_B,Weights,error_LLS_B
5.909099762231130093e+00,1.003065751506049930e+00,-4.409002377688695518e-01
5.893798265974160344e+00,9.961348343888100088e-01,-4.562017340258393006e-01
5.919896113953350358e+00,9.951713410004540128e-01,-4.301038860466492864e-01
5.896545598907890096e+00,1.001520245850020085e+00,-4.534544010921095492e-01
5.881816471125230095e+00,1.003636942468510096e+00,-4.681835288747695500e-01
5.904829972149920003e+00,1.006764812630849937e+00,-4.451700278500796415e-01
5.889570867219450001e+00,1.006385924851050051e+00,-4.604291327805496437e-01
5.879867515514270337e+00,1.002714655411450106e+00,-4.701324844857293073e-01
5.865721524245760321e+00,1.000546567986630109e+00,-4.842784757542393237e-01
5.786387906112070212e+00,1.001654282275820096e+00,-5.636120938879294329e-01
5.749599116460210269e+00,1.000679826196259947e+00,-6.004008835397893762e-01
5.725821687758010370e+00,1.000781005392940015e+00,-6.241783122419892749e-01
5.737871469456250040e+00,1.000023626697740031e+00,-6.121285305437496049e-01
5.759569601975480069e+00,1.001376555674349911e+00,-5.904303980245195760e-01
5.748720292378120433e+00,1.007855511305540075e+00,-6.012797076218792114e-01
5.736557852928879875e+00,9.977486833153229595e-01,-6.134421470711197699e-01
5.727215728432099695e+00,9.876703469565040194e-01,-6.227842715678999497e-01
5.647446325552819779e+00,1.001948274904880032e+00,-7.025536744471798656e-01
5.623627388083249912e+00,1.009216424093289932e+00,-7.263726119167497330e-01
5.622135715188670169e+00,9.898613765607260362e-01,-7.278642848113294761e-01
5.612198945155100205e+00,9.946484198742000515e-01,-7.378010548448994399e-01
5.646670257771390311e+00,9.984318470378440447e-01,-7.033297422286093337e-01
5.670667421036079681e+00,9.996251438712669968e-01,-6.793325789639199641e-01
5.681591766397859899e+00,1.002170829524440032e+00,-6.684082336021397452e-01
5.680651019029419935e+00,1.003797668198999959e+00,-6.693489809705797100e-01
5.669881921169079853e+00,1.001613517254279939e+00,-6.801180788309197922e-01
5.678431473567330023e+00,9.875153078313250177e-01,-6.715685264326696213e-01
5.764344281876300435e+00,9.936066964900569509e-01,-5.856557181236992093e-01
5.755886204573539722e+00,9.999891683039650037e-01,-5.941137954264599230e-01
5.741585582397950027e+00,1.004933105041740049e+00,-6.084144176020496175e-01
5.742629101726840268e+00,1.001586832040179953e+00,-6.073708982731593764e-01
5.677535821111129977e+00,9.993985317418789815e-01,-6.724641788888696681e-01
5.654732265987489903e+00,9.945884856353369718e-01,-6.952677340125097416e-01
5.667972653427329810e+00,1.001262806590869969e+00,-6.820273465726698348e-01
5.729980540979179970e+00,1.002777589916910017e+00,-6.200194590208196743e-01
5.753921966797950205e+00,9.933245171553070074e-01,-5.960780332020494399e-01
5.778953971092000153e+00,9.965533364035750186e-01,-5.710460289079994922e-01
5.789699560426259772e+00,9.954511879386259698e-01,-5.603004395737398724e-01
5.764782823316069837e+00,9.967669761282420549e-01,-5.852171766839298073e-01
5.740978662214310191e+00,1.005256590703500041e+00,-6.090213377856894539e-01
5.713416666058930282e+00,1.005480226649400066e+00,-6.365833339410693625e-01
5.742274984707719909e+00,1.000282218054880046e+00,-6.077250152922797355e-01
5.762488091093990406e+00,9.898188420793999631e-01,-5.875119089060092392e-01
5.788525546285510082e+00,9.980743972736300096e-01,-5.614744537144895631e-01
5.803061691900230024e+00,1.011318871147220078e+00,-5.469383080997696212e-01
5.800968539821609760e+00,1.003101395164440079e+00,-5.490314601783898851e-01
5.838873607126630283e+00,9.929437677077469493e-01,-5.111263928733693618e-01
5.815386917480210194e+00,9.992642153652719905e-01,-5.346130825197894509e-01
5.827405940896859704e+00,1.001982691951349924e+00,-5.225940591031399407e-01
5.823695476241869784e+00,1.005721382940619968e+00,-5.263045237581298608e-01
5.813930254139619613e+00,1.004231726471660036e+00,-5.360697458603800314e-01
5.789580727479320288e+00,9.963689306000460544e-01,-5.604192725206793568e-01
5.765671600082679760e+00,9.930574367535339730e-01,-5.843283999173198850e-01
5.803896363650889789e+00,9.953134769732859821e-01,-5.461036363491098555e-01
5.878902363536919751e+00,1.008837085297499936e+00,-4.710976364630798940e-01
5.940910367948670334e+00,1.009475497651759923e+00,-4.090896320513293105e-01
5.937525578892270062e+00,9.908259853579860499e-01,-4.124744211077295830e-01
5.976853436382730145e+00,9.903186057560380284e-01,-3.731465636172695000e-01
5.940945715961389872e+00,9.961240773752449984e-01,-4.090542840386097723e-01
5.925668401117300199e+00,1.006731964878150087e+00,-4.243315988826994456e-01
5.878973805010529574e+00,1.000036352482110091e+00,-4.710261949894700706e-01
5.853923897694610190e+00,9.944429074418730252e-01,-4.960761023053894547e-01
5.869068750662240319e+00,9.997330414614760130e-01,-4.809312493377593256e-01
5.889782423825179691e+00,1.002914220386130095e+00,-4.602175761748199534e-01
5.866957644299129804e+00,1.002311964186390014e+00,-4.830423557008698410e-01
5.865753233814049672e+00,1.001941517468780019e+00,-4.842467661859499728e-01
5.841890533038079703e+00,9.940318456906940270e-01,-5.081094669619199422e-01
5.819342660472919704e+00,9.960802535188230111e-01,-5.306573395270799409e-01
5.831173895537670404e+00,9.980036093361039917e-01,-5.188261044623292406e-01
5.816792243152580255e+00,1.004163048077880038e+00,-5.332077568474193896e-01
5.854169283510690214e+00,1.001653801134509969e+00,-4.958307164893094310e-01
5.881244851219849856e+00,9.953486343700179706e-01,-4.687551487801497885e-01
5.828741974045509977e+00,9.964209252898730274e-01,-5.212580259544896677e-01
5.865721524245760321e+00,1.007147950825860061e+00,-4.842784757542393237e-01
5.830449468094210275e+00,1.005090493448530076e+00,-5.195505319057893701e-01
5.840112755760800134e+00,9.743016294153510337e-01,-5.098872442391995108e-01
5.828892519166910091e+00,9.313065310075240300e-01,-5.211074808330895536e-01
5.867186719374119619e+00,8.936624170378799636e-01,-4.828132806258800258e-01
5.869462070752310190e+00,8.685628459160390502e-01,-4.805379292476894548e-01
5.858249738616479796e+00,8.131495389680030161e-01,-4.917502613835198488e-01
5.867801803060499921e+00,7.488741134760009688e-01,-4.821981969394997236e-01
5.843943360437370060e+00,6.866485748316429882e-01,-5.060566395626295844e-01
5.852959934938899877e+00,6.372707917801340161e-01,-4.970400650610997673e-01
5.848588975128960143e+00,5.746940763447969669e-01,-5.014110248710395012e-01
5.836806061537419765e+00,5.121499399920239615e-01,-5.131939384625798795e-01
5.833648772423649653e+00,3.991118347968369839e-01,-5.163512275763499915e-01
5.839359553923699764e+00,2.744202609625390199e-01,-5.106404460762998809e-01
5.829494660774639847e+00,1.781470773468329938e-01,-5.205053392253597977e-01
5.841093133994699649e+00,1.292217603650279989e-01,-5.089068660052999959e-01
5.843380271726290154e+00,1.244978190468190027e-01,-5.066197282737094909e-01
5.841772504985110359e+00,9.354855861285470142e-02,-5.082274950148892856e-01
5.830297591032549853e+00,5.276085017458039678e-02,-5.197024089674497915e-01
5.827076453934679989e+00,0.000000000000000000e+00,-5.229235460653196554e-01
5.838055326904670217e+00,0.000000000000000000e+00,-5.119446730953294278e-01
5.827057319093399634e+00,0.000000000000000000e+00,-5.229426809066000104e-01
5.841192001638019882e+00,0.000000000000000000e+00,-5.088079983619797630e-01
5.840943844962049880e+00,0.000000000000000000e+00,-5.090561550379497646e-01
5.832585790196319842e+00,0.000000000000000000e+00,-5.174142098036798032e-01
5.841035867035910378e+00,0.000000000000000000e+00,-5.089641329640892664e-01
5.829361886175879803e+00,0.000000000000000000e+00,-5.206381138241198414e-01
5.827427991833100229e+00,0.000000000000000000e+00,-5.225720081668994155e-01
5.827095760325209817e+00,0.000000000000000000e+00,-5.229042396747898280e-01
5.827824036465069746e+00,0.000000000000000000e+00,-5.221759635349298989e-01
5.842358855804730133e+00,0.000000000000000000e+00,-5.076411441952695114e-01
5.854923739896189971e+00,0.000000000000000000e+00,-4.950762601038096733e-01
5.838709189538390021e+00,0.000000000000000000e+00,-5.112908104616096239e-01
5.841035867035910378e+00,0.000000000000000000e+00,-5.089641329640892664e-01
5.839192409914230275e+00,0.000000000000000000e+00,-5.108075900857693696e-01
5.827095760325209817e+00,0.000000000000000000e+00,-5.229042396747898280e-01
5.829449716739990350e+00,0.000000000000000000e+00,-5.205502832600092944e-01
5.829056956318059868e+00,0.000000000000000000e+00,-5.209430436819397769e-01
5.841171885846190293e+00,0.000000000000000000e+00,-5.088281141538093522e-01
5.827910260118970065e+00,0.000000000000000000e+00,-5.220897398810295797e-01
5.831562826550009682e+00,0.000000000000000000e+00,-5.184371734499899631e-01
