Id,TimeStamp,X_mm_,Y_mm_,Z_mm_
296,26.07.2023 15:37:13.580,-37.0540153809999,186.6576109792,9.28417902519999
297,26.07.2023 15:37:13.590,-36.573904705,186.6694199152,9.12124310820004
298,26.07.2023 15:37:13.600,-36.0924549989999,186.6753168102,8.9643283862
299,26.07.2023 15:37:13.610,-35.618990731,186.6807330172,8.80041353820001
300,26.07.2023 15:37:13.620,-35.156879085,186.6744690762,8.6325373472
301,26.07.2023 15:37:13.630,-34.692541811,186.6643115492,8.46067536220004
302,26.07.2023 15:37:13.640,-34.232969081,186.6498861392,8.2918273942
303,26.07.2023 15:37:13.650,-33.7684051469999,186.6357563082,8.1259795132
304,26.07.2023 15:37:13.660,-33.299361659,186.6308862002,7.95709994020002
305,26.07.2023 15:37:13.670,-32.8241001569999,186.6223681422,7.78923462720001
306,26.07.2023 15:37:13.680,-32.3419057029999,186.6152262772,7.61536596220003
307,26.07.2023 15:37:13.690,-31.857171889,186.6162388252,7.44046908620002
308,26.07.2023 15:37:13.700,-31.3745505949999,186.6191623352,7.27356505019999
309,26.07.2023 15:37:13.710,-30.885567439,186.6334633582,7.10562228220004
310,26.07.2023 15:37:13.720,-30.4076815029999,186.6491517682,6.94267218320003
311,26.07.2023 15:37:13.730,-29.9417751669999,186.6641420782,6.7757218562
312,26.07.2023 15:37:13.740,-29.472930263,186.6802946972,6.60676806920002
313,26.07.2023 15:37:13.750,-29.0039457709999,186.6764547092,6.44688490719999
314,26.07.2023 15:37:13.760,-28.516678855,186.6506353522,6.29108338319999
315,26.07.2023 15:37:13.770,-28.0512621709999,186.6215652812,6.13528846720004
316,26.07.2023 15:37:13.780,-27.6030716509999,186.6135190982,5.97141549319999
317,26.07.2023 15:37:13.790,-27.146091019,186.6269557132,5.79246858420002
318,26.07.2023 15:37:13.800,-26.677332521,186.6270774452,5.62357133620004
319,26.07.2023 15:37:13.810,-26.205268097,186.6043789352,5.46275538720004
320,26.07.2023 15:37:13.820,-25.723789025,186.5922199832,5.29790432220001
321,26.07.2023 15:37:13.830,-25.257766695,186.6051818052,5.12196111920003
322,26.07.2023 15:37:13.840,-24.779992757,186.6228351992,4.9500040042
323,26.07.2023 15:37:13.850,-24.298997259,186.6366908142,4.78506105020004
324,26.07.2023 15:37:13.860,-23.8153232569999,186.6387152912,4.63016049820001
325,26.07.2023 15:37:13.870,-23.342743367,186.6420777632,4.46625269920002
326,26.07.2023 15:37:13.880,-22.863887577,186.6407798052,4.29936271919999
327,26.07.2023 15:37:13.890,-22.4038877849999,186.6364162422,4.13647938620004
328,26.07.2023 15:37:13.900,-21.928312995,186.6399532392,3.97357164420003
329,26.07.2023 15:37:13.910,-21.4662859369999,186.6527152892,3.80562830920002
330,26.07.2023 15:37:13.920,-20.9945899809999,186.6540169702,3.63972757120002
331,26.07.2023 15:37:13.930,-20.532307563,186.6447614532,3.47286197919999
332,26.07.2023 15:37:13.940,-20.070481129,186.6434928802,3.30596810720002
333,26.07.2023 15:37:13.950,-19.6123324609999,186.6540125582,3.13303178820002
334,26.07.2023 15:37:13.960,-19.120953127,186.6614319472,2.9631138192
335,26.07.2023 15:37:13.970,-18.6294918689999,186.6498676812,2.80526292219999
336,26.07.2023 15:37:13.980,-18.146245151,186.6418338392,2.64539772920002
337,26.07.2023 15:37:13.990,-17.680339037,186.6568276772,2.47944739620002
338,26.07.2023 15:37:14.000,-17.2247590949999,186.6772487892,2.31547563120003
339,26.07.2023 15:37:14.010,-16.754292169,186.6825292792,2.16156066020004
340,26.07.2023 15:37:14.020,-16.284254303,186.6777796742,2.01068100020003
341,26.07.2023 15:37:14.030,-15.8224307549999,186.6765569652,1.85678705020003
